decimal, sjis-hex, sjis, baka, baka-hex
33088, 8140, 　, 0000, 0000
33089, 8141, 、, 0001, 0100
33090, 8142, 。, 0002, 0200
33091, 8143, ，, 0003, 0300
33092, 8144, ．, 0004, 0400
33093, 8145, ・, 0005, 0500
33094, 8146, ：, 0006, 0600
33095, 8147, ；, 0007, 0700
33096, 8148, ？, 0008, 0800
33097, 8149, ！, 0009, 0900
33098, 814A, ゛, 000A, 0A00
33099, 814B, ゜, 000B, 0B00
33100, 814C, ´, 000C, 0C00
33101, 814D, ｀, 000D, 0D00
33102, 814E, ¨, 000E, 0E00
33103, 814F, ＾, 000F, 0F00
33104, 8150, ￣, 0010, 1000
33105, 8151, ＿, 0011, 1100
33106, 8152, ヽ, 0012, 1200
33107, 8153, ヾ, 0013, 1300
33108, 8154, ゝ, 0014, 1400
33109, 8155, ゞ, 0015, 1500
33110, 8156, 〃, 0016, 1600
33111, 8157, 仝, 0017, 1700
33112, 8158, 々, 0018, 1800
33113, 8159, 〆, 0019, 1900
33114, 815A, 〇, 001A, 1A00
33115, 815B, ー, 001B, 1B00
33116, 815C, ―, 001C, 1C00
33117, 815D, ‐, 001D, 1D00
33118, 815E, ／, 001E, 1E00
33119, 815F, ＼, 001F, 1F00
33120, 8160, 〜, 0020, 2000
33121, 8161, ‖, 0021, 2100
33122, 8162, ｜, 0022, 2200
33123, 8163, …, 0023, 2300
33124, 8164, ‥, 0024, 2400
33125, 8165, ‘, 0025, 2500
33126, 8166, ’, 0026, 2600
33127, 8167, “, 0027, 2700
33128, 8168, ”, 0028, 2800
33129, 8169, （, 0029, 2900
33130, 816A, ）, 002A, 2A00
33131, 816B, 〔, 002B, 2B00
33132, 816C, 〕, 002C, 2C00
33133, 816D, ［, 002D, 2D00
33134, 816E, ］, 002E, 2E00
33135, 816F, ｛, 002F, 2F00
33136, 8170, ｝, 0030, 3000
33137, 8171, 〈, 0031, 3100
33138, 8172, 〉, 0032, 3200
33139, 8173, 《, 0033, 3300
33140, 8174, 》, 0034, 3400
33141, 8175, 「, 0035, 3500
33142, 8176, 」, 0036, 3600
33143, 8177, 『, 0037, 3700
33144, 8178, 』, 0038, 3800
33145, 8179, 【, 0039, 3900
33146, 817A, 】, 003A, 3A00
33147, 817B, ＋, 003B, 3B00
33148, 817C, −, 003C, 3C00
33149, 817D, ±, 003D, 3D00
33150, 817E, ×, 003E, 3E00
33152, 8180, ÷, 0040, 4000
33153, 8181, ＝, 0041, 4100
33154, 8182, ≠, 0042, 4200
33155, 8183, ＜, 0043, 4300
33156, 8184, ＞, 0044, 4400
33157, 8185, ≦, 0045, 4500
33158, 8186, ≧, 0046, 4600
33159, 8187, ∞, 0047, 4700
33160, 8188, ∴, 0048, 4800
33161, 8189, ♂, 0049, 4900
33162, 818A, ♀, 004A, 4A00
33163, 818B, °, 004B, 4B00
33164, 818C, ′, 004C, 4C00
33165, 818D, ″, 004D, 4D00
33166, 818E, ℃, 004E, 4E00
33167, 818F, ￥, 004F, 4F00
33168, 8190, ＄, 0050, 5000
33169, 8191, ¢, 0051, 5100
33170, 8192, £, 0052, 5200
33171, 8193, ％, 0053, 5300
33172, 8194, ＃, 0054, 5400
33173, 8195, ＆, 0055, 5500
33174, 8196, ＊, 0056, 5600
33175, 8197, ＠, 0057, 5700
33176, 8198, §, 0058, 5800
33177, 8199, ☆, 0059, 5900
33178, 819A, ★, 005A, 5A00
33179, 819B, ○, 005B, 5B00
33180, 819C, ●, 005C, 5C00
33181, 819D, ◎, 005D, 5D00
33182, 819E, ◇, 005E, 5E00
33183, 819F, ◆, 005F, 5F00
33184, 81A0, □, 0060, 6000
33185, 81A1, ■, 0061, 6100
33186, 81A2, △, 0062, 6200
33187, 81A3, ▲, 0063, 6300
33188, 81A4, ▽, 0064, 6400
33189, 81A5, ▼, 0065, 6500
33190, 81A6, ※, 0066, 6600
33191, 81A7, 〒, 0067, 6700
33192, 81A8, →, 0068, 6800
33193, 81A9, ←, 0069, 6900
33194, 81AA, ↑, 006A, 6A00
33195, 81AB, ↓, 006B, 6B00
33196, 81AC, 〓, 006C, 6C00
33208, 81B8, ∈, 0078, 7800
33209, 81B9, ∋, 0079, 7900
33210, 81BA, ⊆, 007A, 7A00
33211, 81BB, ⊇, 007B, 7B00
33212, 81BC, ⊂, 007C, 7C00
33213, 81BD, ⊃, 007D, 7D00
33214, 81BE, ∪, 007E, 7E00
33215, 81BF, ∩, 007F, 7F00
33224, 81C8, ∧, 0088, 8800
33225, 81C9, ∨, 0089, 8900
33226, 81CA, ¬, 008A, 8A00
33227, 81CB, ⇒, 008B, 8B00
33228, 81CC, ⇔, 008C, 8C00
33229, 81CD, ∀, 008D, 8D00
33230, 81CE, ∃, 008E, 8E00
33242, 81DA, ∠, 009A, 9A00
33243, 81DB, ⊥, 009B, 9B00
33244, 81DC, ⌒, 009C, 9C00
33245, 81DD, ∂, 009D, 9D00
33246, 81DE, ∇, 009E, 9E00
33247, 81DF, ≡, 009F, 9F00
33248, 81E0, ≒, 00A0, A000
33249, 81E1, ≪, 00A1, A100
33250, 81E2, ≫, 00A2, A200
33251, 81E3, √, 00A3, A300
33252, 81E4, ∽, 00A4, A400
33253, 81E5, ∝, 00A5, A500
33254, 81E6, ∵, 00A6, A600
33255, 81E7, ∫, 00A7, A700
33256, 81E8, ∬, 00A8, A800
33264, 81F0, Å, 00B0, B000
33265, 81F1, ‰, 00B1, B100
33266, 81F2, ♯, 00B2, B200
33267, 81F3, ♭, 00B3, B300
33268, 81F4, ♪, 00B4, B400
33269, 81F5, †, 00B5, B500
33270, 81F6, ‡, 00B6, B600
33271, 81F7, ¶, 00B7, B700
33276, 81FC, ◯, 00BC, BC00
33359, 824F, ０, 010F, 0F01
33360, 8250, １, 0110, 1001
33361, 8251, ２, 0111, 1101
33362, 8252, ３, 0112, 1201
33363, 8253, ４, 0113, 1301
33364, 8254, ５, 0114, 1401
33365, 8255, ６, 0115, 1501
33366, 8256, ７, 0116, 1601
33367, 8257, ８, 0117, 1701
33368, 8258, ９, 0118, 1801
33376, 8260, Ａ, 0120, 2001
33377, 8261, Ｂ, 0121, 2101
33378, 8262, Ｃ, 0122, 2201
33379, 8263, Ｄ, 0123, 2301
33380, 8264, Ｅ, 0124, 2401
33381, 8265, Ｆ, 0125, 2501
33382, 8266, Ｇ, 0126, 2601
33383, 8267, Ｈ, 0127, 2701
33384, 8268, Ｉ, 0128, 2801
33385, 8269, Ｊ, 0129, 2901
33386, 826A, Ｋ, 012A, 2A01
33387, 826B, Ｌ, 012B, 2B01
33388, 826C, Ｍ, 012C, 2C01
33389, 826D, Ｎ, 012D, 2D01
33390, 826E, Ｏ, 012E, 2E01
33391, 826F, Ｐ, 012F, 2F01
33392, 8270, Ｑ, 0130, 3001
33393, 8271, Ｒ, 0131, 3101
33394, 8272, Ｓ, 0132, 3201
33395, 8273, Ｔ, 0133, 3301
33396, 8274, Ｕ, 0134, 3401
33397, 8275, Ｖ, 0135, 3501
33398, 8276, Ｗ, 0136, 3601
33399, 8277, Ｘ, 0137, 3701
33400, 8278, Ｙ, 0138, 3801
33401, 8279, Ｚ, 0139, 3901
33409, 8281, ａ, 0141, 4101
33410, 8282, ｂ, 0142, 4201
33411, 8283, ｃ, 0143, 4301
33412, 8284, ｄ, 0144, 4401
33413, 8285, ｅ, 0145, 4501
33414, 8286, ｆ, 0146, 4601
33415, 8287, ｇ, 0147, 4701
33416, 8288, ｈ, 0148, 4801
33417, 8289, ｉ, 0149, 4901
33418, 828A, ｊ, 014A, 4A01
33419, 828B, ｋ, 014B, 4B01
33420, 828C, ｌ, 014C, 4C01
33421, 828D, ｍ, 014D, 4D01
33422, 828E, ｎ, 014E, 4E01
33423, 828F, ｏ, 014F, 4F01
33424, 8290, ｐ, 0150, 5001
33425, 8291, ｑ, 0151, 5101
33426, 8292, ｒ, 0152, 5201
33427, 8293, ｓ, 0153, 5301
33428, 8294, ｔ, 0154, 5401
33429, 8295, ｕ, 0155, 5501
33430, 8296, ｖ, 0156, 5601
33431, 8297, ｗ, 0157, 5701
33432, 8298, ｘ, 0158, 5801
33433, 8299, ｙ, 0159, 5901
33434, 829A, ｚ, 015A, 5A01
33439, 829F, ぁ, 015F, 5F01
33440, 82A0, あ, 0160, 6001
33441, 82A1, ぃ, 0161, 6101
33442, 82A2, い, 0162, 6201
33443, 82A3, ぅ, 0163, 6301
33444, 82A4, う, 0164, 6401
33445, 82A5, ぇ, 0165, 6501
33446, 82A6, え, 0166, 6601
33447, 82A7, ぉ, 0167, 6701
33448, 82A8, お, 0168, 6801
33449, 82A9, か, 0169, 6901
33450, 82AA, が, 016A, 6A01
33451, 82AB, き, 016B, 6B01
33452, 82AC, ぎ, 016C, 6C01
33453, 82AD, く, 016D, 6D01
33454, 82AE, ぐ, 016E, 6E01
33455, 82AF, け, 016F, 6F01
33456, 82B0, げ, 0170, 7001
33457, 82B1, こ, 0171, 7101
33458, 82B2, ご, 0172, 7201
33459, 82B3, さ, 0173, 7301
33460, 82B4, ざ, 0174, 7401
33461, 82B5, し, 0175, 7501
33462, 82B6, じ, 0176, 7601
33463, 82B7, す, 0177, 7701
33464, 82B8, ず, 0178, 7801
33465, 82B9, せ, 0179, 7901
33466, 82BA, ぜ, 017A, 7A01
33467, 82BB, そ, 017B, 7B01
33468, 82BC, ぞ, 017C, 7C01
33469, 82BD, た, 017D, 7D01
33470, 82BE, だ, 017E, 7E01
33471, 82BF, ち, 017F, 7F01
33472, 82C0, ぢ, 0180, 8001
33473, 82C1, っ, 0181, 8101
33474, 82C2, つ, 0182, 8201
33475, 82C3, づ, 0183, 8301
33476, 82C4, て, 0184, 8401
33477, 82C5, で, 0185, 8501
33478, 82C6, と, 0186, 8601
33479, 82C7, ど, 0187, 8701
33480, 82C8, な, 0188, 8801
33481, 82C9, に, 0189, 8901
33482, 82CA, ぬ, 018A, 8A01
33483, 82CB, ね, 018B, 8B01
33484, 82CC, の, 018C, 8C01
33485, 82CD, は, 018D, 8D01
33486, 82CE, ば, 018E, 8E01
33487, 82CF, ぱ, 018F, 8F01
33488, 82D0, ひ, 0190, 9001
33489, 82D1, び, 0191, 9101
33490, 82D2, ぴ, 0192, 9201
33491, 82D3, ふ, 0193, 9301
33492, 82D4, ぶ, 0194, 9401
33493, 82D5, ぷ, 0195, 9501
33494, 82D6, へ, 0196, 9601
33495, 82D7, べ, 0197, 9701
33496, 82D8, ぺ, 0198, 9801
33497, 82D9, ほ, 0199, 9901
33498, 82DA, ぼ, 019A, 9A01
33499, 82DB, ぽ, 019B, 9B01
33500, 82DC, ま, 019C, 9C01
33501, 82DD, み, 019D, 9D01
33502, 82DE, む, 019E, 9E01
33503, 82DF, め, 019F, 9F01
33504, 82E0, も, 01A0, A001
33505, 82E1, ゃ, 01A1, A101
33506, 82E2, や, 01A2, A201
33507, 82E3, ゅ, 01A3, A301
33508, 82E4, ゆ, 01A4, A401
33509, 82E5, ょ, 01A5, A501
33510, 82E6, よ, 01A6, A601
33511, 82E7, ら, 01A7, A701
33512, 82E8, り, 01A8, A801
33513, 82E9, る, 01A9, A901
33514, 82EA, れ, 01AA, AA01
33515, 82EB, ろ, 01AB, AB01
33516, 82EC, ゎ, 01AC, AC01
33517, 82ED, わ, 01AD, AD01
33518, 82EE, ゐ, 01AE, AE01
33519, 82EF, ゑ, 01AF, AF01
33520, 82F0, を, 01B0, B001
33521, 82F1, ん, 01B1, B101
33600, 8340, ァ, 0200, 0002
33601, 8341, ア, 0201, 0102
33602, 8342, ィ, 0202, 0202
33603, 8343, イ, 0203, 0302
33604, 8344, ゥ, 0204, 0402
33605, 8345, ウ, 0205, 0502
33606, 8346, ェ, 0206, 0602
33607, 8347, エ, 0207, 0702
33608, 8348, ォ, 0208, 0802
33609, 8349, オ, 0209, 0902
33610, 834A, カ, 020A, 0A02
33611, 834B, ガ, 020B, 0B02
33612, 834C, キ, 020C, 0C02
33613, 834D, ギ, 020D, 0D02
33614, 834E, ク, 020E, 0E02
33615, 834F, グ, 020F, 0F02
33616, 8350, ケ, 0210, 1002
33617, 8351, ゲ, 0211, 1102
33618, 8352, コ, 0212, 1202
33619, 8353, ゴ, 0213, 1302
33620, 8354, サ, 0214, 1402
33621, 8355, ザ, 0215, 1502
33622, 8356, シ, 0216, 1602
33623, 8357, ジ, 0217, 1702
33624, 8358, ス, 0218, 1802
33625, 8359, ズ, 0219, 1902
33626, 835A, セ, 021A, 1A02
33627, 835B, ゼ, 021B, 1B02
33628, 835C, ソ, 021C, 1C02
33629, 835D, ゾ, 021D, 1D02
33630, 835E, タ, 021E, 1E02
33631, 835F, ダ, 021F, 1F02
33632, 8360, チ, 0220, 2002
33633, 8361, ヂ, 0221, 2102
33634, 8362, ッ, 0222, 2202
33635, 8363, ツ, 0223, 2302
33636, 8364, ヅ, 0224, 2402
33637, 8365, テ, 0225, 2502
33638, 8366, デ, 0226, 2602
33639, 8367, ト, 0227, 2702
33640, 8368, ド, 0228, 2802
33641, 8369, ナ, 0229, 2902
33642, 836A, ニ, 022A, 2A02
33643, 836B, ヌ, 022B, 2B02
33644, 836C, ネ, 022C, 2C02
33645, 836D, ノ, 022D, 2D02
33646, 836E, ハ, 022E, 2E02
33647, 836F, バ, 022F, 2F02
33648, 8370, パ, 0230, 3002
33649, 8371, ヒ, 0231, 3102
33650, 8372, ビ, 0232, 3202
33651, 8373, ピ, 0233, 3302
33652, 8374, フ, 0234, 3402
33653, 8375, ブ, 0235, 3502
33654, 8376, プ, 0236, 3602
33655, 8377, ヘ, 0237, 3702
33656, 8378, ベ, 0238, 3802
33657, 8379, ペ, 0239, 3902
33658, 837A, ホ, 023A, 3A02
33659, 837B, ボ, 023B, 3B02
