decimal,sjis-hex,sjis,baka-wrong,baka-hex-wrong,baka-decimal,baka-hex,baka-hex-ordered,baka-hex-flipped
33088,8140,,0000,0000,0,0,0000,0000
33089,8141,、,0001,0100,1,1,0001,0100
33090,8142,。,0002,0200,2,2,0002,0200
33091,8143,，,0003,0300,3,3,0003,0300
33092,8144,．,0004,0400,4,4,0004,0400
33093,8145,・,0005,0500,5,5,0005,0500
33094,8146,：,0006,0600,6,6,0006,0600
33095,8147,；,0007,0700,7,7,0007,0700
33096,8148,？,0008,0800,8,8,0008,0800
33097,8149,！,0009,0900,9,9,0009,0900
33098,814A,゛,000A,0A00,10,A,000A,0A00
33099,814B,゜,000B,0B00,11,B,000B,0B00
33100,814C,´,000C,0C00,12,C,000C,0C00
33101,814D,｀,000D,0D00,13,D,000D,0D00
33102,814E,¨,000E,0E00,14,E,000E,0E00
33103,814F,＾,000F,0F00,15,F,000F,0F00
33104,8150,￣,0010,1000,16,10,0010,1000
33105,8151,＿,0011,1100,17,11,0011,1100
33106,8152,ヽ,0012,1200,18,12,0012,1200
33107,8153,ヾ,0013,1300,19,13,0013,1300
33108,8154,ゝ,0014,1400,20,14,0014,1400
33109,8155,ゞ,0015,1500,21,15,0015,1500
33110,8156,〃,0016,1600,22,16,0016,1600
33111,8157,仝,0017,1700,23,17,0017,1700
33112,8158,々,0018,1800,24,18,0018,1800
33113,8159,〆,0019,1900,25,19,0019,1900
33114,815A,〇,001A,1A00,26,1A,001A,1A00
33115,815B,ー,001B,1B00,27,1B,001B,1B00
33116,815C,―,001C,1C00,28,1C,001C,1C00
33117,815D,‐,001D,1D00,29,1D,001D,1D00
33118,815E,／,001E,1E00,30,1E,001E,1E00
33119,815F,＼,001F,1F00,31,1F,001F,1F00
33120,8160,〜,0020,2000,32,20,0020,2000
33121,8161,‖,0021,2100,33,21,0021,2100
33122,8162,｜,0022,2200,34,22,0022,2200
33123,8163,…,0023,2300,35,23,0023,2300
33124,8164,‥,0024,2400,36,24,0024,2400
33125,8165,‘,0025,2500,37,25,0025,2500
33126,8166,’,0026,2600,38,26,0026,2600
33127,8167,“,0027,2700,39,27,0027,2700
